Ri,M,Eta,k,Nuval
5,0,1.59,2.0,3.11332
5,0,1.6,2.0,-0.27414
5,0,1.61,2.0,-3.55519
5,0,1.62,2.0,-6.64234
5,0,1.63,2.0,-9.45047
5,0,1.64,2.0,-11.89945
5,0,1.65,2.0,-13.91644
5,0,1.66,2.0,-15.43833
5,0,1.67,2.0,-16.41397
5,0,1.68,2.0,-16.80612
5,0,1.69,2.0,-16.59315
5,0,1.7,2.0,-15.77033
5,0,1.71,2.0,-14.35082
5,0,1.72,2.0,-12.36562
5,0,1.73,2.0,-9.86384
5,0,1.74,2.0,-6.9116
5,0,1.75,2.0,-3.59082
5,0,1.76,2.0,0.0028
5,0,1.77,2.0,3.76224
5,0,1.78,2.0,7.57216
5,0,1.79,2.0,11.3123
5,0,1.8,2.0,14.86129
5,0,1.81,2.0,18.10066
5,0,1.82,2.0,20.91878
5,0,1.83,2.0,23.21512
5,0,1.84,2.0,24.90399
5,0,1.85,2.0,25.91817
5,0,1.86,2.0,26.21179
5,0,1.87,2.0,25.76306
5,0,1.88,2.0,24.57575
5,0,1.89,2.0,22.68006
5,0,1.9,2.0,20.13256
5,0,1.91,2.0,17.01495
5,0,1.92,2.0,13.43221
5,0,1.93,2.0,9.50938
5,0,1.94,2.0,5.38742
5,0,1.95,2.0,1.21858
5,0,1.96,2.0,-2.8391
5,0,1.97,2.0,-6.62785
5,0,1.98,2.0,-9.99622
5,0,1.99,2.0,-12.80576
5,0,2.0,2.0,-14.9365
10,0,0.0,3.0,7.49848
10,0,0.01,3.0,7.48765
10,0,0.02,3.0,7.45539
10,0,0.03,3.0,7.40163
10,0,0.04,3.0,7.32625
10,0,0.05,3.0,7.22947
10,0,0.06,3.0,7.11119
10,0,0.07,3.0,6.9715
10,0,0.08,3.0,6.81017
10,0,0.09,3.0,6.62743
10,0,0.1,3.0,6.42325
10,0,0.11,3.0,6.19758
10,0,0.12,3.0,5.95064
10,0,0.13,3.0,5.6825
10,0,0.14,3.0,5.39324
10,0,0.15,3.0,5.083
10,0,0.16,3.0,4.75199
10,0,0.17,3.0,4.4002
10,0,0.18,3.0,4.02811
10,0,0.19,3.0,3.63589
10,0,0.2,3.0,3.2239
10,0,0.21,3.0,2.79254
10,0,0.22,3.0,2.34222
10,0,0.23,3.0,1.87357
10,0,0.24,3.0,1.38714
10,0,0.25,3.0,0.88356
10,0,0.26,3.0,0.36361
10,0,0.27,3.0,-0.1718
10,0,0.28,3.0,-0.72168
10,0,0.29,3.0,-1.28501
10,0,0.3,3.0,-1.86064
10,0,0.31,3.0,-2.44716
10,0,0.32,3.0,-3.04319
10,0,0.33,3.0,-3.64723
10,0,0.34,3.0,-4.25746
10,0,0.35,3.0,-4.87217
10,0,0.36,3.0,-5.48932
10,0,0.37,3.0,-6.10685
10,0,0.38,3.0,-6.72229
10,0,0.39,3.0,-7.33345
10,0,0.4,3.0,-7.93754
10,0,0.41,3.0,-8.53198
10,0,0.42,3.0,-9.11382
10,0,0.43,3.0,-9.67997
10,0,0.44,3.0,-10.2274
10,0,0.45,3.0,-10.75265
10,0,0.46,3.0,-11.25229
10,0,0.47,3.0,-11.72291
10,0,0.48,3.0,-12.16072
10,0,0.49,3.0,-12.56199
10,0,0.5,3.0,-12.92283
10,0,0.51,3.0,-13.23941
10,0,0.52,3.0,-13.50778
10,0,0.53,3.0,-13.72406
10,0,0.54,3.0,-13.88426
10,0,0.55,3.0,-13.98456
10,0,0.56,3.0,-14.02113
10,0,0.57,3.0,-13.99029
10,0,0.58,3.0,-13.88845
10,0,0.59,3.0,-13.71232
10,0,0.6,3.0,-13.45875
10,0,0.61,3.0,-13.12485
10,0,0.62,3.0,-12.7081
10,0,0.63,3.0,-12.20633
10,0,0.64,3.0,-11.61776
10,0,0.65,3.0,-10.94099
10,0,0.66,3.0,-10.17526
10,0,0.67,3.0,-9.32035
10,0,0.68,3.0,-8.37653
10,0,0.69,3.0,-7.3449
10,0,0.7,3.0,-6.22707
10,0,0.71,3.0,-5.02546
10,0,0.72,3.0,-3.74333
10,0,0.73,3.0,-2.38464
10,0,0.74,3.0,-0.95424
10,0,0.75,3.0,0.54209
10,0,0.76,3.0,2.09775
10,0,0.77,3.0,3.70538
10,0,0.78,3.0,5.35664
10,0,0.79,3.0,7.04222
10,0,0.8,3.0,8.752
10,0,0.81,3.0,10.47516
10,0,0.82,3.0,12.19991
10,0,0.83,3.0,13.91402
10,0,0.84,3.0,15.60439
10,0,0.85,3.0,17.25748
10,0,0.86,3.0,18.85903
10,0,0.87,3.0,20.39484
10,0,0.88,3.0,21.8502
10,0,0.89,3.0,23.21043
10,0,0.9,3.0,24.46092
10,0,0.91,3.0,25.58726
10,0,0.92,3.0,26.57549
10,0,0.93,3.0,27.41221
10,0,0.94,3.0,28.08502
10,0,0.95,3.0,28.58222
10,0,0.96,3.0,28.89351
10,0,0.97,3.0,29.01002
10,0,0.98,3.0,28.92451
10,0,0.99,3.0,28.63147
10,0,1.0,3.0,28.12748
10,0,1.01,3.0,27.41132
10,0,1.02,3.0,26.48409
10,0,1.03,3.0,25.34949
10,0,1.04,3.0,24.0137
10,0,1.05,3.0,22.48576
10,0,1.06,3.0,20.77733
10,0,1.07,3.0,18.90303
10,0,1.08,3.0,16.88013
10,0,1.09,3.0,14.72862
10,0,1.1,3.0,12.47111
10,0,1.11,3.0,10.13262
10,0,1.12,3.0,7.7404
10,0,1.13,3.0,5.32374
10,0,1.14,3.0,2.9135
10,0,1.15,3.0,0.54172
10,0,1.16,3.0,-1.75833
10,0,1.17,3.0,-3.95338
10,0,1.18,3.0,-6.00996
10,0,1.19,3.0,-7.89543
10,0,1.2,3.0,-9.57811
10,0,1.21,3.0,-11.02826
10,0,1.22,3.0,-12.21837
10,0,1.23,3.0,-13.12394
10,0,1.24,3.0,-13.72403
10,0,1.25,3.0,-14.00178
10,0,1.26,3.0,-13.94488
10,0,1.27,3.0,-13.54626
10,0,1.28,3.0,-12.80419
