Ec,Xi,Eta,k,Fval,Gval
-1,0,4.3,1.0,1.00009,0.0
-1,0,4.32,1.0,1.00009,0.0
-1,0,4.34,1.0,1.00009,0.0
-1,0,4.36,1.0,1.00009,0.0
-1,0,4.38001,1.0,1.00009,0.0
-1,0,4.40001,1.0,1.00009,0.0
-1,0,4.42001,1.0,1.00009,0.0
-1,0,4.44001,1.0,1.00009,0.0
-1,0,4.46001,1.0,1.00008,0.0
-1,0,4.48001,1.0,1.00008,0.0
-1,0,4.50001,1.0,1.00008,0.0
-1,0,4.52001,1.0,1.00008,0.0
-1,0,4.54001,1.0,1.00007,0.0
-1,0,4.56001,1.0,1.00007,0.0
-1,0,4.58001,1.0,1.00007,0.0
-1,0,4.60001,1.0,1.00007,0.0
-1,0,4.62001,1.0,1.00006,0.0
-1,0,4.64001,1.0,1.00006,0.0
-1,0,4.66001,1.0,1.00006,0.0
-1,0,4.68001,1.0,1.00005,0.0
-1,0,4.70001,1.0,1.00005,0.0
-1,0,4.72001,1.0,1.00005,0.0
-1,0,4.74001,1.0,1.00004,0.0
-1,0,4.76001,1.0,1.00004,0.0
-1,0,4.78001,1.0,1.00004,0.0
-1,0,4.80001,1.0,1.00003,0.0
-1,0,4.82002,1.0,1.00003,0.0
-1,0,4.84002,1.0,1.00003,0.0
-1,0,4.86002,1.0,1.00002,0.0
-1,0,4.88002,1.0,1.00002,0.0
-1,0,4.90002,1.0,1.00002,0.0
-1,0,4.92002,1.0,1.00001,0.0
-1,0,4.94002,1.0,1.00001,0.0
-1,0,4.96002,1.0,1.00001,0.0
-1,0,4.98002,1.0,1.0,0.0
-1,0,5.00002,1.0,1.0,0.0
-1,3,0.0,2.0,0.0,1.0
-1,3,0.02,2.0,0.12402,0.99591
-1,3,0.04,2.0,0.2405,0.98611
-1,3,0.06,2.0,0.34953,0.97127
-1,3,0.08,2.0,0.45123,0.95206
-1,3,0.1,2.0,0.54573,0.9291
-1,3,0.12,2.0,0.63322,0.90294
-1,3,0.14,2.0,0.7139,0.87412
-1,3,0.16,2.0,0.788,0.84313
-1,3,0.18,2.0,0.85577,0.81042
-1,3,0.2,2.0,0.91745,0.7764
-1,3,0.22,2.0,0.97333,0.74145
-1,3,0.24,2.0,1.02368,0.70592
-1,3,0.26,2.0,1.06879,0.67011
-1,3,0.28,2.0,1.10895,0.63429
-1,3,0.3,2.0,1.14444,0.59872
-1,3,0.32,2.0,1.17556,0.56361
-1,3,0.34,2.0,1.2026,0.52916
-1,3,0.36,2.0,1.22582,0.49552
-1,3,0.38,2.0,1.24552,0.46283
-1,3,0.4,2.0,1.26195,0.43121
