ETA,Cf1,Cf2,Cf3,Cf4,Cf5,Cf6,Cf7,Cf8,Cf9,Cf10,Cf11,Cf12
1.36,-3.20731,-2.30435,0.91558,3.70893,-1.87182,-1.2527,1.34836,3.71792,-0.56941,-0.09252,2.06446,4.07933
1.37,-0.29046,0.61266,3.83283,6.62629,0.78804,1.45357,4.15338,6.57538,1.85382,2.38061,4.68958,6.80241
1.38,2.66398,3.56721,6.78764,9.58113,3.49124,4.21064,7.00976,9.48165,4.31605,4.90592,7.38162,9.5929
1.39,5.59995,6.5033,9.72393,12.51754,6.19248,6.97214,9.86565,12.38272,6.78012,7.44926,10.09821,12.40267
1.4,8.45973,9.36325,12.58406,15.37775,8.84979,9.69158,12.66718,15.22237,9.21987,9.98365,12.79565,15.18064
1.41,11.18519,12.08879,15.30972,18.1035,11.42756,12.32224,15.35932,17.94336,11.63473,12.4904,15.42809,17.87313
1.42,13.71865,14.62231,17.84336,20.63719,13.8947,14.81657,17.88662,20.48841,14.054,14.95131,17.94704,20.42444
1.43,16.00445,16.90815,20.12928,22.92318,16.2115,17.12462,20.1945,22.80155,16.46726,17.33046,20.30046,22.77814
1.44,17.99021,18.89392,22.11517,24.9091,18.31945,19.19376,22.23021,24.82952,18.77962,19.56448,22.43339,24.87831
1.45,19.62806,20.53176,23.75301,26.54707,20.15116,20.97027,23.94417,26.52292,20.87639,21.57297,24.28932,26.67156
1.46,20.87596,21.77962,25.00096,27.79506,21.64311,22.40205,25.29133,27.83785,22.66094,23.2753,25.81333,28.109
1.47,21.69898,22.60263,25.82406,28.61826,22.74182,23.44242,26.23281,28.73706,24.0577,24.60093,26.9551,29.14808
1.48,22.07044,22.9741,26.19561,28.98992,23.4053,24.0526,26.73707,29.19129,25.00976,25.49373,27.67207,29.75439
1.49,21.97291,22.87655,26.09816,28.89264,23.60363,24.20386,26.78149,29.18046,25.47751,25.91311,27.93167,29.90256
1.5,21.39907,22.30268,25.52444,28.31904,23.31923,23.87885,26.3533,28.69435,25.43751,25.8343,27.71306,29.57756
1.51,20.35227,21.25586,24.47776,27.27253,22.54708,23.0723,25.45067,27.73355,24.88178,25.24777,27.0078,28.77512
1.52,18.84712,19.75064,22.97273,25.76768,21.29503,21.79156,24.08314,26.30984,23.81682,24.15867,25.8204,27.5022
1.53,16.90946,17.81293,21.03519,23.83035,19.58353,20.05654,22.27201,24.44641,22.26285,22.58599,24.16829,25.77739
1.54,14.57636,15.4798,18.70224,21.49757,17.4454,17.8995,20.05032,22.17779,20.25271,20.56168,22.08151,23.63091
1.55,11.89584,12.79921,16.02178,18.8173,14.92522,15.36457,17.46251,19.54953,17.83122,18.12976,19.6021,21.1045
1.56,8.92592,9.82917,13.05182,15.84751,12.07846,12.50685,14.56367,16.61762,15.05388,15.34509,16.7834,18.25078
1.57,5.73366,6.63679,9.8595,12.65529,8.97041,9.39127,11.4186,13.44746,11.9858,12.27248,13.68885,15.13252
1.58,2.39398,3.29698,6.51963,9.31547,5.67469,6.09127,8.10055,10.11257,8.70043,8.98501,10.39073,11.82136
1.59,-1.01207,-0.10926,3.11332,5.90916,2.27168,2.68703,4.68969,6.69341,5.27785,5.56271,6.96846,8.39633
1.6,-4.3992,-3.49652,-0.27414,2.52163,-1.1534,-0.73629,1.27101,3.27515,1.80311,2.09053,3.5069,4.94208
1.61,-7.67977,-6.77728,-3.55519,-0.75958,-4.51267,-4.09071,-2.06746,-0.05426,-1.63594,-1.34355,0.09421,1.54692
1.62,-10.7664,-9.86406,-6.64234,-3.84693,-7.71766,-7.28765,-5.23691,-3.20602,-4.95068,-4.65074,-3.18022,-1.69958
1.63,-13.57394,-12.67179,-9.45047,-6.65535,-10.68174,-10.24027,-8.15019,-6.09307,-8.054,-7.74365,-6.22795,-4.70851
1.64,-16.02229,-15.12031,-11.89945,-9.10462,-13.32247,-12.86578,-10.72422,-8.63265,-10.86272,-10.53863,-8.96397,-7.39427
1.65,-18.03862,-17.13684,-13.91644,-11.12198,-15.56405,-15.08774,-12.88228,-10.74863,-13.29992,-12.95808,-11.30885,-9.67673
1.66,-19.55988,-18.65827,-15.43833,-12.64417,-17.33949,-16.83858,-14.55651,-12.37377,-15.29683,-14.93233,-13.19076,-11.48356
1.67,-20.53495,-19.63345,-16.41397,-13.62018,-18.59257,-18.06109,-15.69003,-13.45249,-16.79498,-16.40155,-14.54734,-12.75235
1.68,-20.92663,-20.02519,-16.80612,-14.01265,-19.27957,-18.71047,-16.23909,-13.94271,-17.74747,-17.31697,-15.32749,-13.43269
1.69,-20.71329,-19.8119,-16.59315,-13.79995,-19.37045,-18.75544,-16.17472,-13.81783,-18.11953,-17.64115,-15.49216,-13.48818
1.7,-19.89026,-18.98888,-15.77033,-12.9774,-18.84916,-18.17913,-15.48451,-13.06841,-17.88792,-17.34717,-15.01611,-12.89837
1.71,-18.47066,-17.56923,-14.35082,-11.55803,-17.71272,-16.97935,-14.17373,-11.70323,-17.03749,-16.41584,-13.8889,-11.6608
1.72,-16.48558,-15.58402,-12.36562,-9.57297,-15.96901,-15.16938,-12.26642,-9.75011,-15.55148,-14.83145,-12.11703,-9.79322
1.73,-13.98409,-13.0823,-9.86384,-7.07122,-13.63382,-12.77955,-9.80589,-7.25597,-13.39187,-12.5811,-9.72742,-7.33492
1.74,-11.03226,-10.1302,-6.9116,-4.11904,-10.73741,-9.86071,-6.85455,-4.28622,-10.50916,-9.67289,-6.77143,-4.34811
1.75,-7.71196,-6.80961,-3.59082,-0.7982,-7.34677,-6.48828,-3.49336,-0.92344,-6.95656,-6.17144,-3.32783,-0.91686
1.76,-4.11885,-3.21622,0.0028,2.79549,-3.5736,-2.76236,0.18016,2.73443,-2.90632,-2.20555,0.49811,2.85498
1.77,-0.35995,0.54295,3.76224,6.55503,0.44473,1.19627,4.05428,6.57684,1.44569,2.06027,4.57895,6.84789
1.78,3.4494,4.35261,7.57216,10.36504,4.56303,5.25389,8.00666,10.48407,5.91458,6.45294,8.77318,10.93155
1.79,7.18906,8.09245,11.3123,14.10527,8.63607,9.27082,11.90868,14.33087,10.32881,10.80361,12.93287,14.96984
1.8,10.73765,11.64124,14.86129,17.65439,12.52212,13.10764,15.62965,17.99049,14.52981,14.95329,16.91062,18.826
1.81,13.97668,14.88037,18.10066,20.89388,16.08624,16.62988,19.04178,21.33896,18.37244,18.75541,20.56546,22.36689
1.82,16.79443,17.69827,20.91878,23.71215,19.20381,19.71276,22.02476,24.25957,21.72674,22.07844,23.76707,25.46748
1.83,19.0905,19.99436,23.21512,26.00866,21.76402,22.24493,24.47001,26.64679,24.47961,24.80766,26.3999,28.01511
1.84,20.7791,21.68302,24.90399,27.69771,23.67341,24.13234,26.28513,28.41065,26.537,26.84775,28.3665,29.91341
1.85,21.79296,22.6969,25.91817,28.7121,24.85892,25.30136,27.39722,29.4802,27.82606,28.12475,29.59058,31.08598
1.86,22.08628,22.99024,26.21179,29.006,25.27073,25.70168,27.75633,29.80678,28.29741,28.58845,30.01974,31.47997
1.87,21.63718,22.54117,25.76306,28.55757,24.88446,25.30861,27.3377,29.36636,27.92706,28.21429,29.62788,31.06828
1.88,20.44956,21.35355,24.57575,27.37062,23.70272,24.12442,26.14362,28.16185,26.71793,27.00495,28.41656,29.8519
1.89,18.55357,19.45751,22.68006,25.47529,21.75568,22.17924,24.20416,26.22361,24.70078,24.99094,26.41587,27.86056
1.9,16.00582,16.90966,20.13256,22.92811,19.10116,19.53099,21.57728,23.60961,21.93405,22.23089,23.68472,25.15311
1.91,12.88812,13.79181,17.01495,19.81085,15.82334,16.26399,18.34761,20.40427,18.50305,18.81033,20.30955,21.81636
1.92,9.30539,10.20888,13.43221,16.22843,12.03089,12.48737,14.6246,16.71659,14.5179,14.84006,16.40279,17.96334
1.93,5.38261,6.28592,9.50938,12.30575,7.8539,8.33194,10.53921,12.67672,10.11111,10.45338,12.10003,13.73024
1.94,1.26087,2.16399,5.38742,8.1839,3.44025,3.94649,6.24014,8.43214,5.43365,5.8026,7.55656,9.2729
1.95,-2.90756,-2.00469,1.21858,4.01504,-1.049,-0.50667,1.8889,4.14227,0.65105,1.05529,2.94327,4.76171
1.96,-6.96465,-6.06205,-2.8391,-0.04279,-5.44417,-4.85646,-2.34579,-0.02722,-4.06047,-3.60943,-1.55811,0.37605
