ETA,Cf1,Cf2,Cf3,Cf4,Cf5
0.935,7.47128,-19.67403,-73.97827,-128.30128,-182.64304
0.945,7.43893,-12.98769,-53.85256,-94.73339,-135.63031
0.955,7.41225,-5.49373,-31.31581,-57.15122,-83.00019
0.965,7.39196,2.55632,-7.12347,-16.81481,-26.51764
0.975,7.37844,10.87638,17.86473,24.84268,31.81017
0.985,7.37208,19.15511,42.71364,66.26157,89.79922
0.995,7.37293,27.06614,66.44413,105.81059,145.16531
1.005,7.38119,34.28224,88.07418,141.85248,195.61702
1.015,7.39666,40.48788,106.65807,172.81184,238.94885
1.025,7.41923,45.39538,121.33318,197.25146,273.15005
1.035,7.4483,48.75872,131.36269,213.9442,296.50345
1.045,7.48395,50.38793,136.17812,221.94377,307.68512
1.055,7.52507,50.16184,135.41718,220.64702,305.85175
1.065,7.57122,48.03843,128.95471,209.84633,290.71289
1.075,7.6218,44.06187,116.92483,189.76492,262.58191
1.085,7.67606,38.36611,99.73125,161.07622,222.40094
1.095,7.73325,31.17479,78.04556,124.89926,171.73633
1.105,7.79231,22.79526,52.79078,82.77272,112.74087
1.115,7.85262,13.60804,25.11064,36.6022,48.08265
1.125,7.91314,4.05263,-3.6752,-11.41269,-19.15975
1.135,7.97263,-5.39277,-32.13054,-58.87778,-85.63436
1.145,8.03014,-14.23449,-58.77146,-103.31889,-147.87694
1.155,8.08438,-21.98869,-82.14445,-142.31294,-202.49413
1.165,8.1343,-28.20983,-100.90961,-173.62485,-246.35555
1.175,8.17863,-32.51714,-113.92239,-195.34573,-276.78729
1.185,8.21646,-34.62125,-120.31161,-206.022,-291.75262
1.195,8.24643,-34.34611,-119.54677,-204.7682,-290.01053
1.205,8.26769,-31.64634,-111.48949,-191.35284,-271.23645
1.215,8.27944,-26.61766,-96.42592,-166.25237,-236.097
1.225,8.28106,-19.49998,-75.07365,-130.66289,-186.26761
1.235,8.27204,-10.66994,-48.56319,-86.46891,-124.38714
1.245,8.25224,-0.6261,-18.39025,-36.16427,-53.94796
1.255,8.22152,10.03584,13.65829,17.27221,20.87797
1.265,8.18048,20.65677,45.6032,70.54117,95.47101
1.275,8.12959,30.55297,75.39246,120.22203,165.04193
1.285,8.06968,39.06084,101.03378,162.99396,224.94176
1.295,8.00208,45.5829,120.73254,195.86621,270.98404
1.305,7.92847,49.6323,133.02588,216.40036,299.75595
1.315,7.85041,50.87292,136.90237,222.91077,308.89783
1.325,7.77015,49.15165,131.89847,214.62354,297.32687
1.335,7.69003,44.51865,118.16068,191.78175,265.38232
1.345,7.61248,37.23552,96.46778,155.68176,214.87747
1.355,7.54011,27.76643,68.20777,108.63367,149.04443
1.365,7.47554,16.75554,35.30621,53.8442,72.36973
1.375,7.42106,4.98621,0.1083,-4.78081,-9.681
1.385,7.37888,-6.67071,-34.77847,-62.89778,-91.02831
1.395,7.35094,-17.32108,-66.67477,-116.04214,-165.42287
1.405,7.33812,-26.11605,-93.03668,-159.97412,-226.92834
1.415,7.34149,-32.32293,-111.66672,-191.03087,-270.41534
1.425,7.36079,-35.39034,-120.90987,-206.45255,-292.01828
1.435,7.39575,-35.00272,-119.81766,-204.65674,-289.52002
1.445,7.44476,-31.11851,-108.26227,-185.42912,-262.61926
1.455,7.50617,-23.98671,-86.98772,-150.00926,-213.05122
1.465,7.57789,-14.14042,-57.58972,-101.05586,-144.53868
1.475,7.65771,-2.36401,-22.41748,-42.48434,-62.56444
1.485,7.7425,10.36319,15.59575,20.81698,26.02704
1.495,7.82994,22.945,53.16677,83.37724,113.57664
1.505,7.91697,34.26196,86.94218,139.60948,192.26392
1.515,8.00085,43.27151,113.80093,184.31461,254.81252
1.525,8.0788,49.10851,131.15388,213.18053,295.18845
1.535,8.14825,51.17441,137.21112,223.22743,309.22321
1.545,8.20678,49.20588,131.18837,213.15067,295.0925
1.555,8.25206,43.31549,113.42857,183.52321,253.59949
1.565,8.28237,33.99852,85.41973,136.82564,188.21657
1.575,8.29605,22.10032,49.70016,77.28816,104.86449
1.585,8.29221,8.74831,9.65358,10.54906,11.43528
1.595,8.27048,-4.74918,-30.79506,-56.85046,-82.91492
1.605,8.23085,-17.02905,-67.55692,-118.09602,-168.64603
1.615,8.17433,-26.81173,-96.79445,-166.79152,-236.80278
1.625,8.10232,-33.03908,-115.33514,-197.64897,-279.98044
1.635,8.01735,-34.99602,-121.03779,-207.09946,-293.18097
1.645,7.92232,-32.40228,-113.06638,-193.75082,-274.45523
1.655,7.82097,-25.46094,-92.03819,-158.63365,-225.24742
1.665,7.71741,-14.85707,-60.0171,-105.19246,-150.38269
1.675,7.6164,-1.70153,-20.34618,-39.00303,-57.67205
1.685,7.52295,12.57667,22.67593,32.76445,42.84202
1.695,7.44186,26.37874,64.24345,102.09634,139.93735
1.705,7.37768,38.11455,99.5771,161.0246,222.45695
1.715,7.33431,46.38808,124.48145,202.55594,280.61099
1.725,7.31436,50.16912,135.8622,221.53307,307.18137
1.735,7.3193,48.93195,132.1398,215.32442,298.48581
1.745,7.34927,42.73865,113.50122,184.24232,254.96182
1.755,7.40263,32.25589,81.94872,131.62361,181.28035
1.765,7.47661,18.69674,41.12633,63.54157,85.94225
1.775,7.56715,3.69224,-4.06678,-11.83808,-19.62187
1.785,7.66958,-10.89806,-48.04256,-85.19984,-122.36996
1.795,7.77873,-23.21338,-85.20869,-147.21918,-209.24496
1.805,7.88904,-31.63214,-110.68828,-189.76268,-268.85556
1.815,7.99526,-34.99237,-120.9827,-206.9937,-293.02542
1.825,8.09242,-32.76275,-114.48802,-196.23381,-278.00009
1.835,8.17572,-25.13878,-91.78128,-158.44144,-225.1196
1.845,8.2412,-13.0451,-55.62832,-98.22546,-140.83675
1.855,8.28548,1.96247,-10.69175,-23.35679,-36.03255
1.865,8.30611,17.88559,37.03701,56.17884,75.31117
1.875,8.30155,32.54372,81.01969,129.48442,177.93803
1.885,8.27145,43.87286,115.06454,186.24179,257.40457
1.895,8.21645,50.22136,134.21759,218.19586,302.15631
1.905,8.1388,50.60265,135.51572,220.40924,305.28326
1.915,8.04173,44.86189,118.48835,192.09639,265.68585
1.925,7.92988,33.72971,85.31754,136.89008,188.44696
1.935,7.80914,18.74725,40.61419,62.46883,84.31117
1.945,7.68638,2.06748,-9.17846,-20.4352,-31.70292
1.955,7.56896,-13.84668,-56.68725,-99.54002,-142.40521
1.965,7.46488,-26.58455,-94.69533,-162.82198,-230.96475
1.975,7.38123,-34.15926,-117.25532,-200.37141,-283.50754
1.985,7.32465,-35.33036,-120.65724,-206.00633,-291.37772
1.995,7.29969,-29.82455,-104.08936,-178.37526,-252.6826
2.005,7.3087,-18.41254,-69.86859,-121.34238,-172.83412
2.015,7.3512,-2.82292,-23.1821,-43.55527,-63.94278
2.025,7.42454,14.50395,28.65304,42.78994,56.91419
2.035,7.52342,30.7881,77.30724,123.8129,170.30447
2.045,7.64068,43.35599,114.77386,186.17476,257.55832
2.055,7.76835,50.08621,134.70682,219.3073,303.88721
2.065,7.89795,49.78414,133.54086,217.27666,300.9913
2.075,8.02106,42.41393,111.18594,179.93932,248.67368
2.085,8.12995,29.14328,71.15892,113.16003,155.14624
2.095,8.2179,12.18124,20.09932,28.0062,35.90147
2.105,8.27934,-5.57178,-33.28231,-61.00324,-88.73512
2.115,8.31034,-21.01152,-79.66482,-138.33104,-197.01031
2.125,8.30848,-31.37291,-110.74824,-190.1398,-269.54819
2.135,8.27323,-34.73817,-120.77532,-206.83121,-292.9061
2.145,8.20603,-30.4094,-107.65434,-184.9174,-262.19897
2.155,8.11045,-19.0761,-73.46103,-127.86102,-182.27638
2.165,7.99207,-2.73295,-24.192,-45.66279,-67.14542
2.175,7.85831,15.64961,31.22388,46.78775,62.34105
2.185,7.71864,32.65102,82.50612,132.34865,182.17863
2.195,7.58334,45.03366,119.92142,194.7926,269.64679
2.205,7.46332,50.36741,136.16042,221.93286,307.68463
2.215,7.36906,47.52313,127.81548,208.0867,288.3364
2.225,7.30947,36.93341,96.16731,155.38268,214.57932
2.235,7.29049,20.55767,47.08076,73.58916,100.08236
2.245,7.31453,1.54362,-10.0081,-21.5726,-33.15041
2.255,7.37986,-16.36272,-63.85909,-111.36965,-158.8949
2.265,7.48068,-29.5509,-103.62782,-177.72256,-251.83577
2.275,7.60802,-35.28212,-121.07829,-206.89525,-292.73346
2.285,7.75072,-32.27701,-112.34829,-192.44031,-272.55319
2.295,7.89697,-21.02495,-78.88182,-136.75606,-194.64767
2.305,8.03492,-3.73724,-27.29155,-50.85879,-74.43923
2.315,8.15389,16.06273,31.87204,47.67041,63.45765
2.325,8.24467,34.24438,86.23415,138.2113,190.17599
2.335,8.30047,46.93035,124.17796,201.40938,278.62451
2.345,8.3166,51.33754,137.36536,223.3743,309.3645
2.355,8.29158,46.41186,122.63879,198.84763,275.0383
2.365,8.22638,33.10883,82.86276,132.60205,182.32652
2.375,8.12531,14.24326,26.47078,38.68685,50.89136
2.385,7.9956,-6.08195,-34.24532,-62.4198,-90.60529
2.395,7.84724,-23.35584,-85.7726,-148.20355,-210.64885
2.405,7.69273,-33.66566,-116.39631,-199.14545,-281.91321
2.415,7.54596,-34.60343,-118.91765,-203.25244,-287.60788
2.425,7.42148,-25.86039,-92.43853,-159.03543,-225.6512
2.435,7.33245,-9.35772,-42.74941,-76.1561,-109.57773
2.445,7.28913,11.1408,18.83454,26.51568,34.18409
2.455,7.29687,30.86246,77.98262,125.08861,172.18044
2.465,7.35559,45.12985,120.66425,196.18045,271.67825
2.475,7.45912,50.48128,136.50958,222.5166,308.50208
2.485,7.59641,45.53886,121.40836,197.25742,273.08585
2.495,7.75323,31.39935,78.67925,125.94272,173.18961
2.505,7.91369,11.43303,18.4621,25.47855,32.48198
2.515,8.06253,-9.48604,-44.59244,-79.71103,-114.8423
2.525,8.18588,-26.15306,-94.84238,-163.54686,-232.26698
2.535,8.27255,-34.32988,-119.54874,-204.78595,-290.04178
2.545,8.31482,-31.84372,-112.17451,-192.52379,-272.89182
2.555,8.30841,-19.19746,-74.22091,-129.25941,-184.3131
2.565,8.25354,0.48471,-15.06149,-30.6189,-46.18776
2.575,8.15409,22.19546,50.27008,78.33398,106.38723
2.585,8.01862,40.29742,104.84461,169.37767,233.89687
2.595,7.85915,49.98712,134.22919,218.45299,302.65845
2.605,7.69138,48.58832,130.36739,212.12677,293.86642
2.615,7.53305,36.32346,93.89143,151.44217,208.97566
2.625,7.40229,16.33373,34.18621,52.02491,69.85013
2.635,7.31543,-6.0917,-32.91578,-59.75299,-86.60325
2.645,7.2839,-24.895,-89.26521,-153.65187,-218.05502
2.655,7.3126,-34.89096,-119.3138,-203.75719,-288.22122
2.665,7.39866,-33.22171,-114.47858,-195.75662,-277.056
2.675,7.53121,-20.2126,-75.71359,-131.23225,-186.76855
2.685,7.69412,0.63658,-13.4888,-27.62735,-41.77935
2.695,7.86813,23.55538,54.9202,86.27258,117.61266
