ETA,Cf1,Cf2,Cf3,Cf4
1.415,7.34149,-23.41872,-84.95436,-146.50941
1.425,7.36079,-2.38386,-21.88466,-41.39948
1.435,7.39575,21.88794,50.86195,79.82294
1.445,7.44476,41.66335,110.0871,178.49345
1.455,7.50617,50.42089,136.23343,222.02391
1.465,7.57789,45.06816,120.03252,194.97563
1.475,7.65771,27.14289,66.10113,105.04373
1.485,7.7425,2.50613,-7.97627,-18.47104
1.495,7.82994,-20.47696,-77.10202,-133.74182
1.505,7.91697,-33.7439,-117.08044,-200.43651
1.515,8.00085,-32.40211,-113.22333,-194.06461
1.525,8.0788,-16.62884,-66.05579,-115.49799
1.535,8.14825,8.16293,8.18375,8.19385
1.545,8.20678,33.07785,82.81053,132.53084
1.555,8.25206,48.89262,130.16023,211.41077
1.565,8.28237,49.51508,131.96602,214.39838
1.575,8.29605,34.44372,86.72798,138.99771
1.585,8.29221,9.20454,11.02117,12.82767
1.595,8.27048,-16.547,-66.19091,-115.84644
1.605,8.23085,-32.66648,-114.47417,-196.29852
1.615,8.17433,-32.56076,-114.04494,-195.54739
1.625,8.10232,-16.01001,-64.24545,-112.49481
1.635,8.01735,10.47387,15.37929,20.27431
1.645,7.92232,36.06896,92.35259,148.623
1.655,7.82097,50.00652,134.36374,218.7023
1.665,7.71741,46.14602,122.98904,199.81297
1.675,7.6164,25.80266,62.16439,98.51196
1.685,7.52295,-2.51958,-22.6136,-42.71945
1.695,7.44186,-26.56941,-94.60447,-162.65598
1.705,7.37768,-35.64073,-121.69373,-207.76799
1.715,7.33431,-25.44364,-91.01405,-156.60338
1.725,7.31436,-0.30812,-15.5636,-30.83258
1.735,7.3193,28.46877,70.75697,113.03103
1.745,7.34927,47.60018,128.08704,208.55388
1.755,7.40263,47.97388,129.1002,210.20461
1.765,7.47661,29.13807,72.44872,115.74277
1.775,7.56715,-0.15138,-15.59797,-31.05779
1.785,7.66958,-25.82872,-92.83778,-159.86372
1.795,7.77873,-35.21808,-121.22727,-207.25735
1.805,7.88904,-23.37205,-85.90716,-148.45993
1.815,7.99526,4.1581,-3.52521,-11.22056
1.825,8.09242,33.74073,85.02759,136.30106
1.835,8.17572,50.33953,134.65355,218.94914
1.845,8.2412,45.23093,119.19738,193.14587
1.855,8.28548,20.78728,45.782,70.7645
1.865,8.30611,-10.37565,-47.74774,-85.13121
1.875,8.30155,-31.75587,-111.88326,-192.02739
1.885,8.27145,-31.71253,-111.69391,-191.69305
1.895,8.21645,-9.97342,-46.36279,-82.76447
1.905,8.1388,21.81527,49.16016,76.49448
1.915,8.04173,46.13628,122.31345,198.47462
1.925,7.92988,49.2192,131.78394,214.32979
1.935,7.80914,28.96351,71.26183,113.54604
1.945,7.68638,-3.45544,-25.74753,-48.05162
1.955,7.56896,-29.57841,-103.88577,-178.21036
1.965,7.46488,-34.16858,-117.45063,-200.75298
1.975,7.38123,-14.28464,-57.62819,-100.98736
1.985,7.32465,18.56222,41.0274,63.47982
