ETA,Ec
2.565,-0.27139
2.575,21.53842
2.585,39.77586
2.595,49.6251
2.605,48.3944
2.615,36.28833
2.625,16.42965
2.635,-5.9086
2.645,-24.68024
2.655,-34.70512
2.665,-33.12201
2.675,-20.24573
2.685,0.44016
2.695,23.18454
2.705,41.54903
2.715,50.23263
2.725,46.63085
2.735,31.65992
2.745,9.57646
2.755,-13.19177
2.765,-29.90126
2.775,-35.49876
2.785,-28.18637
2.795,-10.04587
2.805,13.50157
2.815,35.27943
2.825,48.53641
2.835,49.05936
2.845,36.55592
2.855,14.84198
2.865,-9.27418
2.875,-28.10017
2.885,-35.51851
2.895,-29.00994
2.905,-10.5631
2.915,13.87546
2.925,36.27694
2.935,49.15983
2.945,48.11238
2.955,33.35372
2.965,9.76657
2.975,-14.66774
2.985,-31.54551
2.995,-34.94664
3.005,-23.55724
3.015,-1.23583
3.025,24.23444
3.035,43.82764
3.045,50.47833
3.055,41.67199
3.065,20.45654
3.075,-5.54569
3.085,-26.83603
3.095,-35.50832
3.105,-28.22402
3.115,-7.56241
3.125,18.82245
3.135,40.99167
3.145,50.46265
3.155,43.4913
3.165,22.61989
3.175,-4.17715
3.185,-26.4901
3.195,-35.51517
3.205,-27.56847
3.215,-5.66085
3.225,21.56672
3.235,43.20536
3.245,50.44823
3.255,40.22255
3.265,16.56608
3.275,-10.88908
3.285,-30.79709
3.295,-34.79264
3.305,-21.06532
3.315,4.7442
3.325,31.78665
3.335,48.533
3.345,47.71005
3.355,29.52691
3.365,1.73347
3.375,-23.61433
3.385,-35.36378
3.395,-28.2137
3.405,-5.18518
3.415,23.56407
3.425,45.16608
3.435,49.80526
3.445,35.23776
3.455,7.96281
3.465,-19.59269
3.475,-34.70303
3.485,-30.24996
3.495,-8.15807
3.505,21.33742
3.515,44.36667
3.525,49.94648
3.535,35.27708
3.545,7.24055
3.555,-20.73846
3.565,-35.08504
3.575,-28.69518
3.585,-4.54281
3.595,25.59988
3.605,46.83773
3.615,48.52194
3.625,29.65999
3.635,-0.40552
3.645,-26.53916
3.655,-35.41142
3.665,-22.35326
3.675,6.08303
3.685,35.31258
3.695,50.15272
3.705,42.7471
3.715,16.81997
3.725,-14.08453
3.735,-33.60993
3.745,-31.26293
3.755,-8.14208
3.765,23.45019
3.775,46.47348
3.785,48.34119
3.795,27.8805
3.805,-3.82505
3.815,-29.34523
3.825,-34.47027
3.835,-16.19612
3.845,15.39775
3.855,42.60469
3.865,49.99084
3.875,33.2159
3.885,1.70175
3.895,-26.54793
3.905,-35.19964
3.915,-19.09777
3.925,12.53997
3.935,41.28563
3.945,50.199
3.955,33.87291
3.965,1.83871
3.975,-26.88115
3.985,-35.03027
3.995,-17.55679
4.005,15.12677
