ETA,Ec
3.485,-30.7292
3.495,-8.01608
3.505,22.14208
3.515,45.74992
3.525,51.72965
3.535,37.22468
3.545,9.09838
3.555,-19.20981
3.565,-34.08041
3.575,-28.33326
3.585,-4.8302
3.595,24.79778
3.605,45.79296
3.615,47.58249
3.625,29.14644
3.635,-0.28828
3.645,-25.73821
3.655,-34.01525
3.665,-20.55542
3.675,8.02881
3.685,37.13301
3.695,51.59181
3.705,43.60443
3.715,16.99333
3.725,-14.55804
3.735,-34.53255
3.745,-32.30202
3.755,-8.92187
3.765,23.22818
3.775,46.95065
3.785,49.48874
3.795,29.53414
3.805,-1.91441
3.815,-27.46408
3.825,-32.90055
3.835,-15.17169
3.845,15.73791
3.855,42.26153
3.865,49.13628
3.875,32.18081
3.885,0.88632
3.895,-26.81138
3.905,-34.74673
3.915,-17.95105
3.925,14.20824
3.935,43.20703
3.945,52.06158
3.955,35.37459
3.965,2.7426
3.975,-26.69578
3.985,-35.52172
3.995,-18.49367
4.005,14.13118
