ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6
2.22,1.00189,0,1.00208,0,1.00252,0,1.00065,0,1.00068,0,1.00072,0
2.24,1.00173,0,1.0019,0,1.00232,0,1.00059,0,1.00061,0,1.00065,0
2.26,1.00158,0,1.00173,0,1.00214,0,1.00053,0,1.00055,0,1.00058,0
2.28,1.00144,0,1.00158,0,1.00198,0,1.00048,0,1.0005,0,1.00052,0
2.3,1.00131,0,1.00143,0,1.00182,0,1.00043,0,1.00045,0,1.00047,0
2.32,1.00119,0,1.0013,0,1.00168,0,1.00038,0,1.0004,0,1.00042,0
2.34,1.00109,0,1.00118,0,1.00155,0,1.00035,0,1.00036,0,1.00038,0
2.36,1.00099,0,1.00107,0,1.00144,0,1.00031,0,1.00032,0,1.00034,0
2.38,1.00089,0,1.00097,0,1.00133,0,1.00028,0,1.00029,0,1.00031,0
2.4,1.00081,0,1.00087,0,1.00123,0,1.00025,0,1.00026,0,1.00027,0
2.42,1.00073,0,1.00078,0,1.00114,0,1.00022,0,1.00023,0,1.00025,0
2.44,1.00066,0,1.0007,0,1.00105,0,1.0002,0,1.00021,0,1.00022,0
2.46,1.00059,0,1.00063,0,1.00098,0,1.00018,0,1.00019,0,1.0002,0
2.48,1.00053,0,1.00056,0,1.00091,0,1.00016,0,1.00017,0,1.00018,0
2.5,1.00047,0,1.00049,0,1.00084,0,1.00014,0,1.00015,0,1.00016,0
2.52,1.00042,0,1.00043,0,1.00078,0,1.00012,0,1.00013,0,1.00014,0
2.54,1.00037,0,1.00038,0,1.00073,0,1.00011,0,1.00012,0,1.00013,0
2.56,1.00032,0,1.00033,0,1.00068,0,1.00009,0,1.00011,0,1.00011,0
2.58,1.00028,0,1.00028,0,1.00064,0,1.00008,0,1.00009,0,1.0001,0
2.6,1.00024,0,1.00024,0,1.0006,0,1.00007,0,1.00008,0,1.00009,0
2.62,1.00021,0,1.0002,0,1.00057,0,1.00006,0,1.00007,0,1.00008,0
2.64,1.00017,0,1.00017,0,1.00053,0,1.00006,0,1.00007,0,1.00007,0
