ETA,Pi1,Pi2,Pi3,Pi4,Pi5
1.99,-21.43403,-17.74591,-18.51629,-13.70338,-13.04248
2,-15.11168,-12.29867,-12.90237,-9.23236,-8.74092
2.01,-4.93946,-3.54489,-3.88096,-2.06279,-1.84659
2.02,7.51454,7.16623,7.1572,6.70015,6.57777
2.03,20.281,18.14074,18.46651,15.67025,15.19941
2.04,31.29612,27.60419,28.21805,23.39604,22.62285
2.05,38.74046,33.99266,34.80001,28.59896,27.61912
2.06,41.3489,36.21914,37.09232,30.39126,29.335
2.07,38.64145,33.87209,34.67094,28.43812,27.44909
2.08,31.02936,27.30648,27.90172,23.03203,22.24311
2.09,19.7728,17.60716,17.90312,15.06294,14.57326
2.1,6.78821,6.42352,6.37525,5.88277,5.73988
2.11,-5.66549,-4.30058,-4.6784,-2.91574,-2.72505
2.12,-15.37689,-12.66215,-13.29634,-9.77342,-9.32203
2.13,-20.57741,-17.13953,-17.9101,-13.44353,-12.85194
2.14,-20.27556,-16.87923,-17.64012,-13.22684,-12.64225
2.15,-14.4613,-11.87265,-12.47761,-9.11601,-8.68589
2.16,-4.13978,-2.98434,-3.31385,-1.81933,-1.66412
2.17,8.82323,8.18033,8.19634,7.34796,7.15814
2.18,22.0233,19.55237,19.9203,16.69062,16.15022
2.19,32.95509,28.9758,29.63551,24.44125,23.6121
2.2,39.48686,34.61546,35.45035,29.09485,28.09584
2.21,40.28352,35.32109,36.17907,29.70645,28.69201
2.22,35.09148,30.87235,31.59439,26.09224,25.22311
2.23,24.82354,22.05239,22.50357,18.89017,18.30174
2.24,11.41692,10.52584,10.62218,9.4607,9.23572
2.25,-2.51859,-1.46331,-1.73659,-0.36002,-0.20946
2.26,-14.2018,-11.52234,-12.10646,-8.61236,-8.14931
2.27,-21.2358,-17.58795,-18.36064,-13.60476,-12.95669
2.28,-22.10839,-18.35717,-19.15604,-14.26727,-13.60195
2.29,-16.53093,-13.57928,-14.23405,-10.391,-9.88335
2.3,-5.53737,-4.14178,-4.50929,-2.6992,-2.49564
2.31,8.68822,8.07809,8.08358,7.27402,7.0867
2.32,23.23402,20.57664,20.96404,17.48074,16.89492
2.33,35.05318,30.73334,31.43135,25.77692,24.86767
2.34,41.61005,36.36705,37.23757,30.37761,29.28889
2.35,41.43944,36.21753,37.08381,30.25135,29.16683
2.36,34.4967,30.24613,30.93039,25.36654,24.47104
2.37,22.20831,19.67997,20.042,16.72753,16.16735
2.38,7.20087,6.77841,6.74725,6.18369,6.03377
2.39,-7.24842,-5.63946,-6.04855,-3.95776,-3.71124
2.4,-17.92689,-14.81032,-15.49739,-11.43551,-10.89369
2.41,-22.4136,-18.65208,-19.45378,-14.54679,-13.87678
2.42,-19.6519,-16.25684,-16.98232,-12.55094,-11.94899
2.43,-10.22768,-8.13067,-8.60486,-5.86583,-5.513
2.44,3.72274,3.88623,3.78154,3.99796,3.97769
2.45,18.97138,17.01444,17.31226,14.76129,14.33073
2.46,31.9316,28.16677,28.80519,23.89416,23.11269
2.47,39.50184,34.67451,35.51001,29.21103,28.22209
2.48,39.82302,34.93916,35.77952,29.40479,28.4023
2.49,32.7626,28.84836,29.49825,24.3863,23.56841
2.5,19.99262,17.84276,18.15143,15.33882,14.85908
2.51,4.62631,4.60279,4.50206,4.46066,4.38918
2.52,-9.51778,-7.58466,-8.06172,-5.5533,-5.24907
2.53,-18.85483,-15.63381,-16.35935,-12.1734,-11.62233
2.54,-20.94662,-17.44591,-18.22748,-13.67863,-13.07493
2.55,-15.15581,-12.47165,-13.10001,-9.61738,-9.17218
2.56,-2.86051,-1.89611,-2.19839,-0.95895,-0.84581
2.57,12.84537,11.61934,11.73425,10.11788,9.80897
2.58,27.90845,24.58754,25.10342,20.75721,20.04576
2.59,38.35256,33.58738,34.38281,28.15646,27.16905
2.6,41.33146,36.16931,37.04728,30.30758,29.24732
2.61,35.9189,31.53492,32.27367,26.55347,25.64755
2.62,23.41313,20.79882,21.21039,17.80214,17.24184
2.63,7.05173,6.74321,6.72489,6.32644,6.21452
2.64,-8.80964,-6.88814,-7.32441,-4.81321,-4.4927
