Ri,M,Eta,k,Fval,Gval
-1,0,4.40001,1.0,1.00001,0.0
-1,0,4.42001,1.0,1.00001,0.0
-1,0,4.44001,1.0,1.00001,0.0
-1,0,4.46001,1.0,1.00001,0.0
-1,0,4.48001,1.0,1.00001,0.0
-1,0,4.50001,1.0,1.00001,0.0
-1,0,4.52001,1.0,1.00001,0.0
-1,0,4.54001,1.0,1.00001,0.0
-1,0,4.56001,1.0,1.00001,0.0
-1,0,4.58001,1.0,1.0,0.0
-1,0,4.60001,1.0,1.0,0.0
-1,0,4.62001,1.0,1.0,0.0
-1,0,4.64001,1.0,1.0,0.0
-1,0,4.66001,1.0,1.0,0.0
-1,0,4.68001,1.0,1.0,0.0
-1,0,4.70001,1.0,1.0,0.0
-1,0,4.72001,1.0,1.0,0.0
-1,0,4.74001,1.0,1.0,0.0
-1,0,4.76001,1.0,1.0,0.0
-1,0,4.78001,1.0,1.0,0.0
-1,0,4.80001,1.0,1.0,0.0
-1,0,4.82002,1.0,1.0,0.0
-1,0,4.84002,1.0,1.0,0.0
-1,0,4.86002,1.0,1.0,0.0
-1,0,4.88002,1.0,1.0,0.0
-1,0,4.90002,1.0,1.0,0.0
-1,0,4.92002,1.0,1.0,0.0
-1,0,4.94002,1.0,1.0,0.0
-1,0,4.96002,1.0,1.0,0.0
-1,0,4.98002,1.0,1.0,0.0
-1,0,5.00002,1.0,1.0,0.0
-1,1,0.0,2.0,0.0949,1.0
-1,1,0.02,2.0,0.02505,0.98018
-1,1,0.04,2.0,0.04972,0.961
-1,1,0.06,2.0,0.07398,0.94159
-1,1,0.08,2.0,0.09786,0.92196
-1,1,0.1,2.0,0.12134,0.90212
-1,1,0.12,2.0,0.14442,0.88207
-1,1,0.14,2.0,0.16712,0.86185
-1,1,0.16,2.0,0.18943,0.84145
-1,1,0.18,2.0,0.21134,0.82091
-1,1,0.2,2.0,0.23287,0.80022
-1,1,0.22,2.0,0.25401,0.77942
-1,1,0.24,2.0,0.27476,0.75852
-1,1,0.26,2.0,0.29513,0.73754
-1,1,0.28,2.0,0.31512,0.7165
-1,1,0.3,2.0,0.33472,0.69543
-1,1,0.32,2.0,0.35394,0.67435
-1,1,0.34,2.0,0.37279,0.65327
-1,1,0.36,2.0,0.39126,0.63224
-1,1,0.38,2.0,0.40935,0.61126
-1,1,0.4,2.0,0.42708,0.59037
-1,1,0.42,2.0,0.44444,0.56959
-1,1,0.44,2.0,0.46143,0.54894
-1,1,0.46,2.0,0.47805,0.52846
-1,1,0.48,2.0,0.49432,0.50817
-1,1,0.5,2.0,0.51022,0.48809
-1,1,0.52,2.0,0.52577,0.46826
-1,1,0.54,2.0,0.54097,0.44868
-1,1,0.56,2.0,0.55583,0.4294
-1,1,0.58,2.0,0.57033,0.41043
-1,1,0.6,2.0,0.58449,0.3918
-1,1,0.62,2.0,0.59832,0.37353
-1,1,0.64,2.0,0.61181,0.35564
-1,1,0.66,2.0,0.62496,0.33815
-1,1,0.68,2.0,0.63779,0.32108
-1,1,0.7,2.0,0.6503,0.30444
-1,1,0.72,2.0,0.66249,0.28826
-1,1,0.74,2.0,0.67436,0.27255
-1,1,0.76,2.0,0.68591,0.25731
-1,1,0.78,2.0,0.69716,0.24257
-1,1,0.8,2.0,0.70811,0.22832
-1,1,0.82,2.0,0.71876,0.21459
-1,1,0.84,2.0,0.72911,0.20137
-1,1,0.86,2.0,0.73918,0.18866
-1,1,0.88,2.0,0.74895,0.17648
-1,1,0.9,2.0,0.75845,0.16482
-1,1,0.92,2.0,0.76767,0.15368
-1,1,0.94,2.0,0.77662,0.14305
-1,1,0.96,2.0,0.7853,0.13294
-1,1,0.98,2.0,0.79372,0.12333
-1,1,1.0,2.0,0.80188,0.11423
-1,1,1.02,2.0,0.80978,0.10561
-1,1,1.04,2.0,0.81744,0.09748
-1,1,1.06,2.0,0.82486,0.08981
-1,1,1.08,2.0,0.83204,0.0826
-1,1,1.1,2.0,0.83898,0.07583
