ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12
0.8,0.52326,0.31958,0.70811,0.22832,1.05995,0.09945,1.2272,0.06401,0.86434,0.15566,0.90418,0.13923,1.04507,0.09223,1.14554,0.07245,0.96097,0.10819,0.97428,0.10245,1.03003,0.08394,1.07891,0.07628
0.82,0.53636,0.30516,0.71876,0.21459,1.05962,0.0899,1.21862,0.05685,0.87185,0.14349,0.91003,0.12777,1.04396,0.08323,1.13853,0.06473,0.96414,0.09822,0.97661,0.09284,1.02858,0.07555,1.07393,0.06835
0.84,0.54932,0.29105,0.72911,0.20137,1.05903,0.08109,1.21005,0.05039,0.87899,0.13202,0.91555,0.11703,1.04271,0.07494,1.13162,0.05771,0.96707,0.08899,0.97873,0.08397,1.02711,0.06785,1.06911,0.06111
0.86,0.56213,0.27725,0.73918,0.18866,1.05821,0.07298,1.20152,0.04457,0.88579,0.12123,0.92074,0.10697,1.04135,0.06733,1.12485,0.05134,0.96978,0.08045,0.98066,0.07578,1.02563,0.06081,1.06449,0.05451
0.88,0.57478,0.26378,0.74895,0.17648,1.05719,0.06554,1.19307,0.03934,0.89225,0.11112,0.92563,0.09759,1.0399,0.06037,1.11825,0.04557,0.97227,0.07259,0.98242,0.06825,1.02417,0.05438,1.06006,0.04852
0.9,0.58726,0.25065,0.75845,0.16482,1.05601,0.05873,1.18474,0.03465,0.8984,0.10165,0.93024,0.08886,1.03839,0.054,1.11182,0.04036,0.97457,0.06535,0.98403,0.06134,1.02272,0.04852,1.05583,0.04309
0.92,0.59957,0.23787,0.76767,0.15368,1.05469,0.05251,1.17656,0.03046,0.90423,0.0928,0.93457,0.08074,1.03683,0.04821,1.1056,0.03567,0.97669,0.05872,0.98548,0.05501,1.02131,0.0432,1.05181,0.03818
0.94,0.6117,0.22544,0.77662,0.14305,1.05325,0.04684,1.16854,0.02672,0.90977,0.08457,0.93866,0.07322,1.03524,0.04294,1.09958,0.03146,0.97865,0.05265,0.98681,0.04923,1.01994,0.03838,1.048,0.03375
0.96,0.62365,0.21338,0.7853,0.13294,1.05173,0.0417,1.16071,0.0234,0.91503,0.07691,0.9425,0.06626,1.03365,0.03816,1.09379,0.02768,0.98045,0.0471,0.98802,0.04397,1.01861,0.03403,1.0444,0.02977
0.98,0.63541,0.20169,0.79372,0.12333,1.05013,0.03703,1.15309,0.02045,0.92002,0.0698,0.94611,0.05984,1.03205,0.03384,1.08823,0.0243,0.98211,0.04206,0.98912,0.03919,1.01733,0.0301,1.041,0.0262
1,0.64697,0.19038,0.80188,0.11423,1.04849,0.03282,1.14568,0.01784,0.92475,0.06323,0.94951,0.05394,1.03047,0.02995,1.08291,0.02129,0.98363,0.03747,0.99012,0.03485,1.01611,0.02657,1.03781,0.02301
1.02,0.65834,0.17945,0.80978,0.10561,1.0468,0.02902,1.1385,0.01553,0.92923,0.05716,0.9527,0.04852,1.02892,0.02644,1.07782,0.01861,0.98503,0.03331,0.99103,0.03092,1.01495,0.0234,1.03481,0.02016
1.04,0.6695,0.16891,0.81744,0.09748,1.04509,0.0256,1.13156,0.01349,0.93347,0.05158,0.95571,0.04355,1.02739,0.02329,1.07296,0.01623,0.98632,0.02955,0.99186,0.02738,1.01384,0.02056,1.03201,0.01762
1.06,0.68045,0.15876,0.82486,0.08981,1.04337,0.02254,1.12485,0.01171,0.93748,0.04644,0.95853,0.03901,1.0259,0.02048,1.06834,0.01413,0.98751,0.02616,0.99261,0.0242,1.01279,0.01803,1.0294,0.01537
1.08,0.69118,0.149,0.83204,0.0826,1.04165,0.01979,1.11839,0.01014,0.94128,0.04173,0.96119,0.03487,1.02446,0.01796,1.06395,0.01227,0.98859,0.02311,0.99329,0.02133,1.01181,0.01577,1.02697,0.01338
1.1,0.7017,0.13963,0.83898,0.07583,1.03994,0.01735,1.11217,0.00876,0.94487,0.03742,0.96368,0.03111,1.02306,0.01572,1.05979,0.01063,0.98959,0.02037,0.99391,0.01877,1.01088,0.01377,1.0247,0.01161
1.12,0.71201,0.13065,0.8457,0.06949,1.03825,0.01517,1.1062,0.00756,0.94827,0.03349,0.96602,0.02769,1.02171,0.01372,1.05585,0.00919,0.9905,0.01792,0.99448,0.01648,1.01001,0.01199,1.0226,0.01006
1.14,0.72209,0.12207,0.85219,0.06357,1.03659,0.01323,1.10047,0.00651,0.95147,0.02991,0.96822,0.0246,1.02041,0.01196,1.05213,0.00793,0.99134,0.01573,0.99499,0.01443,1.00919,0.01042,1.02066,0.00869
1.16,0.73195,0.11387,0.85846,0.05804,1.03495,0.01152,1.09498,0.0056,0.95449,0.02666,0.97029,0.02181,1.01916,0.01039,1.04862,0.00683,0.99211,0.01377,0.99546,0.01262,1.00843,0.00904,1.01886,0.0075
1.18,0.74159,0.10605,0.86452,0.0529,1.03335,0.01,1.08973,0.00481,0.95735,0.02372,0.97223,0.01929,1.01797,0.00901,1.04531,0.00586,0.99282,0.01204,0.99588,0.011,1.00772,0.00782,1.0172,0.00645
1.2,0.751,0.09862,0.87037,0.04812,1.03178,0.00867,1.08471,0.00412,0.96004,0.02105,0.97404,0.01703,1.01684,0.0078,1.04219,0.00503,0.99346,0.0105,0.99626,0.00958,1.00706,0.00675,1.01567,0.00553
1.22,0.76018,0.09156,0.87601,0.0437,1.03026,0.0075,1.07992,0.00353,0.96258,0.01865,0.97575,0.015,1.01576,0.00674,1.03926,0.0043,0.99405,0.00913,0.99661,0.00831,1.00645,0.00581,1.01426,0.00474
1.24,0.76914,0.08487,0.88146,0.0396,1.02879,0.00647,1.07535,0.00302,0.96497,0.01648,0.97735,0.01318,1.01474,0.0058,1.03651,0.00367,0.99459,0.00793,0.99693,0.0072,1.00589,0.00499,1.01297,0.00405
1.26,0.77786,0.07854,0.88671,0.03582,1.02736,0.00557,1.071,0.00258,0.96722,0.01454,0.97885,0.01156,1.01376,0.00499,1.03393,0.00313,0.99508,0.00687,0.99722,0.00623,1.00537,0.00428,1.01178,0.00345
1.28,0.78637,0.07256,0.89177,0.03234,1.02598,0.00478,1.06686,0.0022,0.96934,0.0128,0.98026,0.01012,1.01284,0.00428,1.03151,0.00266,0.99553,0.00594,0.99748,0.00537,1.00489,0.00366,1.01069,0.00294
1.3,0.79464,0.06692,0.89665,0.02915,1.02465,0.0041,1.06292,0.00187,0.97133,0.01124,0.98157,0.00884,1.01198,0.00366,1.02925,0.00225,0.99594,0.00512,0.99772,0.00462,1.00445,0.00313,1.0097,0.00249
1.32,0.80269,0.06162,0.90134,0.02622,1.02337,0.0035,1.05918,0.00159,0.9732,0.00986,0.98281,0.0077,1.01116,0.00312,1.02713,0.00191,0.99631,0.00441,0.99793,0.00397,1.00404,0.00266,1.00879,0.00211
1.34,0.81051,0.05664,0.90586,0.02353,1.02213,0.00299,1.05563,0.00135,0.97496,0.00862,0.98396,0.0067,1.01039,0.00266,1.02516,0.00161,0.99665,0.00379,0.99813,0.0034,1.00367,0.00226,1.00796,0.00178
1.36,0.81811,0.05197,0.91021,0.02108,1.02095,0.00255,1.05227,0.00115,0.97662,0.00753,0.98505,0.00581,1.00966,0.00226,1.02331,0.00136,0.99696,0.00324,0.99831,0.00291,1.00333,0.00192,1.0072,0.0015
1.38,0.82549,0.04761,0.9144,0.01885,1.01982,0.00216,1.04908,0.00097,0.97817,0.00656,0.98606,0.00503,1.00898,0.00192,1.02159,0.00114,0.99725,0.00277,0.99847,0.00248,1.00302,0.00162,1.00651,0.00126
1.4,0.83265,0.04353,0.91842,0.01683,1.01873,0.00183,1.04606,0.00082,0.97963,0.0057,0.98701,0.00435,1.00834,0.00162,1.01999,0.00096,0.9975,0.00237,0.99861,0.00211,1.00273,0.00137,1.00588,0.00106
1.42,0.83959,0.03974,0.92228,0.01499,1.01769,0.00155,1.0432,0.0007,0.98099,0.00494,0.9879,0.00375,1.00775,0.00137,1.01849,0.0008,0.99774,0.00201,0.99875,0.00179,1.00247,0.00115,1.00531,0.00089
1.44,0.84631,0.03621,0.926,0.01332,1.0167,0.00131,1.0405,0.00059,0.98227,0.00428,0.98873,0.00323,1.00719,0.00115,1.0171,0.00067,0.99795,0.00171,0.99887,0.00152,1.00223,0.00097,1.00479,0.00074
1.46,0.85282,0.03293,0.92956,0.01182,1.01576,0.0011,1.03795,0.0005,0.98347,0.0037,0.9895,0.00277,1.00666,0.00097,1.01581,0.00056,0.99814,0.00145,0.99898,0.00129,1.00202,0.00081,1.00432,0.00062
1.48,0.85913,0.0299,0.93298,0.01047,1.01486,0.00093,1.03554,0.00042,0.9846,0.00319,0.99023,0.00237,1.00617,0.00081,1.0146,0.00047,0.99832,0.00122,0.99908,0.00108,1.00182,0.00068,1.00389,0.00051
1.5,0.86522,0.0271,0.93626,0.00925,1.014,0.00078,1.03326,0.00035,0.98565,0.00274,0.99091,0.00203,1.00572,0.00068,1.01349,0.00039,0.99848,0.00103,0.99916,0.00091,1.00164,0.00057,1.00351,0.00042
1.52,0.87111,0.02452,0.93941,0.00816,1.01319,0.00065,1.03112,0.0003,0.98664,0.00235,0.99154,0.00173,1.00529,0.00057,1.01245,0.00032,0.99863,0.00087,0.99925,0.00077,1.00148,0.00047,1.00316,0.00035
1.54,0.8768,0.02214,0.94242,0.00718,1.01241,0.00054,1.02909,0.00025,0.98756,0.00201,0.99213,0.00147,1.0049,0.00047,1.01149,0.00027,0.99876,0.00073,0.99932,0.00064,1.00133,0.00039,1.00284,0.00029
1.56,0.88229,0.01995,0.94531,0.00631,1.01167,0.00045,1.02719,0.00021,0.98843,0.00172,0.99268,0.00125,1.00453,0.00039,1.01059,0.00022,0.99888,0.00061,0.99939,0.00054,1.0012,0.00032,1.00256,0.00024
1.58,0.8876,0.01795,0.94808,0.00553,1.01098,0.00038,1.0254,0.00018,0.98923,0.00147,0.9932,0.00106,1.00419,0.00033,1.00977,0.00018,0.99899,0.00051,0.99945,0.00045,1.00108,0.00027,1.0023,0.0002
1.6,0.89271,0.01612,0.95072,0.00484,1.01031,0.00031,1.02371,0.00015,0.98999,0.00125,0.99368,0.00089,1.00387,0.00027,1.009,0.00015,0.99908,0.00043,0.9995,0.00037,1.00097,0.00022,1.00206,0.00016
